Essay Title,Topics,URL
How to Write Usefully,Writing,https://paulgraham.com/useful.html
How to Think for Yourself,Thinking,https://www.paulgraham.com/articles.html
The Top Idea in Your Mind,Thinking,https://www.paulgraham.com/articles.html
The Age of the Essay,Learning,https://www.paulgraham.com/articles.html
How to Raise Money,Making Money,https://www.paulgraham.com/articles.html
A Fundraising Survival Guide,Making Money,https://www.paulgraham.com/articles.html
How to Start a Startup,Startups,https://www.paulgraham.com/essays.html
Why Startups Condense in America,Startups,https://www.paulgraham.com/articles.html
"Maker's Schedule, Manager's Schedule",Startups,https://www.paulgraham.com/makers.html
How Y Combinator Started,Startups,https://www.paulgraham.com/yc.html
Is It Worth Being Wise?,Philosophy,https://www.paulgraham.com/articles.html
Be Good,Philosophy,https://www.paulgraham.com/articles.html
How to Do Philosophy,Philosophy,https://www.paulgraham.com/articles.html
What You Can't Say,Society & Culture,https://www.paulgraham.com/articles.html
Why Nerds are Unpopular,Society & Culture,https://www.paulgraham.com/articles.html
The People You Meet,Society & Culture,https://www.paulgraham.com/articles.html
Lies We Tell Kids,Society & Culture,https://www.paulgraham.com/kids.html
How to Disagree,Society & Culture,https://www.paulgraham.com/disagree.html
Hackers and Painters,Technology & Internet,https://www.paulgraham.com/articles.html
The Other Road Ahead,Technology & Internet,https://www.paulgraham.com/articles.html
Good and Bad Procrastination,Psychology,https://www.paulgraham.com/procrastination.html
How to Stay Fit as a Programmer,Health & Fitness,https://www.paulgraham.com/articles.html
Hitchhiking,Travel,https://www.paulgraham.com/articles.html
The List of Things You'll Never Hear,Humor & Entertainment,https://www.paulgraham.com/articles.html
Black Swan Farming,Humor & Entertainment,https://www.paulgraham.com/articles.html
